Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain
2020-01-21;10;11;24;36;46;3;5;0;17000000
2020-01-17;8;19;20;29;44;3;8;1;100779289
2020-01-14;21;25;29;39;44;8;9;0;91228644
2020-10-01;6;17;32;44;46;2;6;0;84145912
2020-07-01;5;8;12;37;43;6;11;0;75337663
2020-03-01;5;15;20;36;47;8;12;0;64992459
2021-02-02;18;20;35;38;48;9;12;0;41721143
2021-01-29;1;5;27;36;42;1;6;0;30681161
2021-01-26;5;7;25;37;40;2;8;0;17000000
2021-01-22;8;16;42;44;47;6;7;1;80566353
2021-01-19;25;27;31;35;43;5;6;0;67733808
2021-01-15;4;10;27;38;40;3;11;0;56331898
2021-12-01;2;10;18;34;35;6;9;0;41607178
2021-08-01;18;23;37;41;42;4;6;0;30824040
2021-05-01;12;34;37;38;42;1;3;0;17000000
2021-01-01;16;28;32;44;48;1;9;1;44958140
